Frame Offset; Frame Index; Frame Time (ms); Time from first frame (ms)
366;24587;2.2032;897.104698061943
367;24588;2.1063;899.307898163795
368;24589;2.4506;901.414198040962
369;24590;1.962;903.864797949791
370;24591;1.7922;905.826797962189
371;24592;2.121;907.61899793148
372;24593;2.1312;909.739997982979
373;24594;1.7702;911.871198058128
374;24595;1.6825;913.641398072243
375;24596;1.9363;915.323898077011
376;24597;2.6579;917.260198116302
377;24598;1.9232;919.918098211288
378;24599;1.9962;921.841298222542
379;24600;2.4297;923.837498188019
380;24601;2.4155;926.267198085785
381;24602;1.9279;928.682698011398
382;24603;1.8857;930.610597968102
383;24604;2.013;932.496297955513
384;24605;2.2787;934.509297966957
385;24606;2.6208;936.787998080254
386;24607;1.7651;939.408798098564
387;24608;2.0942;941.173898100853
388;24609;2.0448;943.268097996712
389;24610;1.7801;945.312898039818
390;24611;1.7259;947.092998027802
391;24612;1.8255;948.818898081779
392;24613;2.6183;950.644398093224
393;24614;2.0035;953.262698054314
394;24615;1.8627;955.266198039055
395;24616;2.2769;957.128898024559
396;24617;1.9759;959.405798077583
397;24618;1.8303;961.381698131561
398;24619;1.7481;963.211998105049
399;24620;1.9831;964.960098147392
400;24621;2.3345;966.943198084831
401;24622;1.9446;969.277698159218
402;24623;1.7968;971.222298145294
403;24624;1.9205;973.019098162651
404;24625;1.9371;974.939598202705
405;24626;2.318;976.876698255539
406;24627;1.7062;979.19469833374
407;24628;1.8842;980.900898337364
408;24629;2.2547;982.785098314285
409;24630;2.1127;985.039798259735
410;24631;1.7744;987.152498245239
411;24632;1.796;988.926898241043
412;24633;2.1865;990.722898244858
413;24634;2.0426;992.909398317337
414;24635;1.8421;994.951998233795
415;24636;2.4259;996.794098258018
416;24637;2.06;999.219998240471
417;24638;1.978;1001.27999818325
418;24639;1.9313;1003.25799822807
419;24640;1.7263;1005.18929827213
420;24641;1.877;1006.91559827328
421;24642;2.0476;1008.79259824753
422;24643;1.9631;1010.84019827843
423;24644;2.054;1012.80329823494
424;24645;2.0485;1014.85729813576
425;24646;2.5632;1016.90579819679
426;24647;1.9414;1019.46899819374
427;24648;1.7198;1021.41039824486
428;24649;1.9957;1023.13019824028
429;24650;2.0495;1025.125898242
430;24651;1.7856;1027.17539823055
431;24652;1.9632;1028.96099817753
432;24653;14.8006;1030.92419815063
433;24654;2.5029;1045.72479820251
434;24655;1.9019;1048.22769808769
435;24656;1.983;1050.12959814072
436;24657;1.9926;1052.11259818077
437;24658;1.7295;1054.10519814491
438;24659;2.0961;1055.83469808102
439;24660;2.1308;1057.93079817295
440;24661;2.8615;1060.06159818172
441;24662;1.8653;1062.92309820652
442;24663;1.739;1064.78839814663
443;24664;2.0375;1066.52739810944
444;24665;2.0093;1068.56489801407
445;24666;1.6251;1070.57419800758
446;24667;1.6729;1072.19929802418
447;24668;1.8644;1073.87219798565
448;24669;3.4701;1075.73659801483
449;24670;1.8327;1079.20669794083
450;24671;1.7626;1081.03939795494
451;24672;2.1163;1082.80199790001
452;24673;1.9481;1084.91829800606
453;24674;1.8189;1086.86639797688
454;24675;1.6472;1088.685297966
455;24676;1.844;1090.33249795437
456;24677;2.1883;1092.17649793625
457;24678;1.8711;1094.36479783058
458;24679;7.2612;1096.23589777946
459;24680;2.1459;1103.49709773064
460;24681;1.9438;1105.6429977417
461;24682;2.0583;1107.58679771423
462;24683;1.9714;1109.64509773254
463;24684;1.802;1111.61649775505
464;24685;1.7439;1113.41849780083
465;24686;1.7885;1115.16239774227
466;24687;2.3715;1116.95089769363
467;24688;1.721;1119.32239770889
468;24689;1.8536;1121.04339766502
469;24690;1.8798;1122.8969976902
470;24691;1.9229;1124.77679765224
471;24692;1.9107;1126.69969761372
472;24693;1.7713;1128.61039757729
473;24694;1.7249;1130.38169753551
474;24695;1.8165;1132.10659754276
475;24696;1.9507;1133.92309749126
476;24697;2.3924;1135.8737975359
477;24698;1.8776;1138.26619756222
478;24699;1.9731;1140.14379751682
479;24700;2.276;1142.1168974638
480;24701;1.9198;1144.39289748669
481;24702;1.7239;1146.31269752979
482;24703;1.8488;1148.03659749031
483;24704;2.0268;1149.88539743423
484;24705;2.0405;1151.91219735146
485;24706;1.7852;1153.95269727707
486;24707;2.0967;1155.73789727688
487;24708;1.9376;1157.83459722996
488;24709;2.125;1159.77219724655
489;24710;1.7787;1161.89719724655
490;24711;1.7414;1163.67589724064
491;24712;1.8365;1165.41729724407
492;24713;2.1078;1167.25379729271
493;24714;2.527;1169.36159729958
494;24715;1.9573;1171.88859724998
495;24716;1.9974;1173.84589719772
496;24717;2.352;1175.84329724312
497;24718;1.79;1178.19529724121
498;24719;1.8235;1179.98529720306
499;24720;13.1563;1181.80879724026
500;24721;1.883;1194.96509683132
501;24722;2.1288;1196.84809684753
502;24723;2.1298;1198.97689676285
503;24724;2.3941;1201.1066968441
504;24725;1.9175;1203.50079679489
505;24726;1.7817;1205.41829681396
506;24727;1.8277;1207.19999682903
507;24728;2.153;1209.02769684792
508;24729;1.7348;1211.18069672585
509;24730;1.8283;1212.91549670696
510;24731;2.012;1214.7437967062
511;24732;2.4552;1216.75579679012
512;24733;1.8484;1219.21099674702
513;24734;1.7328;1221.05939674377
514;24735;1.8651;1222.79219675064
515;24736;1.8989;1224.65729677677
516;24737;1.8792;1226.55619680882
517;24738;1.7168;1228.4353967905
518;24739;1.6773;1230.15219676495
519;24740;1.8974;1231.82949674129
520;24741;1.9245;1233.72689676285
521;24742;2.6;1235.6513967514
522;24743;1.8354;1238.25139665604
523;24744;2.1572;1240.08679664135
524;24745;2.3197;1242.24399673939
525;24746;2.4998;1244.56369674206
526;24747;2.2478;1247.06349670887
527;24748;1.999;1249.31129682064
528;24749;1.9305;1251.31029677391
529;24750;1.8125;1253.24079680443
530;24751;1.7964;1255.05329680443
531;24752;2.2383;1256.84969675541
532;24753;1.7577;1259.08799684048
533;24754;1.9877;1260.84569680691
534;24755;1.9347;1262.83339679241
535;24756;1.8141;1264.76809680462
536;24757;2.289;1266.5821968317
537;24758;1.8657;1268.87119686604
538;24759;1.7731;1270.73689687252
539;24760;1.6244;1272.50999689102
540;24761;1.8798;1274.13439691067
541;24762;2.5819;1276.01419687271
542;24763;2.0209;1278.59609675407
543;24764;1.7866;1280.61699676514
544;24765;1.8983;1282.40359675884
545;24766;1.9292;1284.30189681053
546;24767;1.7217;1286.23109686375
547;24768;1.6299;1287.95279681683
548;24769;1.6823;1289.58269679546
549;24770;2.0384;1291.26499676704
550;24771;2.2746;1293.30339670181
551;24772;2.2348;1295.5779967308
552;24773;1.6939;1297.81279683113
553;24774;1.9883;1299.50669682026
554;24775;2.016;1301.49499678612
555;24776;1.7501;1303.51099681854
556;24777;1.7167;1305.26109683514
557;24778;1.806;1306.97779679298
558;24779;1.9468;1308.78379678726
559;24780;1.8725;1310.73059678078
560;24781;1.6581;1312.60309672356
561;24782;1.6566;1314.26119673252
562;24783;2.3622;1315.917796731
563;24784;1.993;1318.27999675274
564;24785;1.9025;1320.27299678326
565;24786;1.7476;1322.17549681664
566;24787;1.822;1323.92309677601
567;24788;2.0383;1325.74509680271
568;24789;1.8447;1327.7833968401
569;24790;1.6935;1329.62809681892
570;24791;1.7428;1331.32159686089
571;24792;13.0285;1333.06439685822
572;24793;2.2926;1346.09289646149
573;24794;1.7839;1348.38549637794
574;24795;2.1316;1350.16939640045
575;24796;2.0297;1352.30099630356
576;24797;1.673;1354.33069634438
577;24798;2.1647;1356.00369632244
578;24799;1.9069;1358.16839635372
579;24800;1.9311;1360.07529640198
580;24801;1.7699;1362.00639641285
581;24802;1.7861;1363.77629637718
582;24803;1.9036;1365.56239640713
583;24804;2.0536;1367.46599638462
584;24805;1.7151;1369.51959645748
585;24806;1.645;1371.23469650745
586;24807;1.9733;1372.87969648838
587;24808;2.261;1374.85299646854
588;24809;2.2306;1377.11399638653
589;24810;1.6965;1379.34459626675
590;24811;1.6691;1381.04109621048
591;24812;1.9067;1382.71019625664
592;24813;1.9459;1384.61689627171
593;24814;1.7506;1386.56279623508
594;24815;1.993;1388.31339621544
595;24816;2.0652;1390.30639624596
596;24817;2.2258;1392.37159633636
597;24818;1.8467;1394.59739637375
598;24819;2.0966;1396.44409632683
599;24820;1.7628;1398.54069638252
600;24821;2.0711;1400.30349636078
601;24822;1.9579;1402.37459635735
602;24823;1.8766;1404.33249640465
603;24824;1.6663;1406.20909643173
604;24825;2.1838;1407.87539637089
605;24826;2.0531;1410.05919635296
606;24827;1.7384;1412.11229646206
607;24828;1.6704;1413.85069644451
608;24829;1.7332;1415.52109646797
609;24830;2.3833;1417.254296422
610;24831;2.0239;1419.637596488
611;24832;1.7644;1421.66149652004
612;24833;1.8593;1423.42589652538
613;24834;2.1339;1425.28519654274
614;24835;1.8362;1427.41909646988
615;24836;1.6935;1429.25529646873
616;24837;1.707;1430.9487965107
617;24838;2.2081;1432.65579652786
618;24839;2.5818;1434.86389660835
619;24840;2.2566;1437.44569659233
620;24841;1.9781;1439.70229649544
621;24842;2.3048;1441.68039643764
622;24843;1.7971;1443.98519647121
623;24844;1.7466;1445.78229641914
624;24845;1.6635;1447.528896451
625;24846;1.9002;1449.19239640236
626;24847;2.8698;1451.09259641171
627;24848;1.824;1453.96239650249
628;24849;2.173;1455.78639650345
629;24850;1.8213;1457.95939660072
630;24851;2.6323;1459.78069663048
631;24852;1.7397;1462.41299653053
632;24853;1.6066;1464.15269649029
633;24854;2.2638;1465.75929653645
634;24855;2.1159;1468.02309644222
635;24856;1.8677;1470.1389964819
636;24857;1.7246;1472.00669646263
637;24858;1.9568;1473.7312964201
638;24859;3.1793;1475.68809640408
639;24860;1.7933;1478.86739647388
640;24861;1.8575;1480.6606965065
641;24862;2.9616;1482.51819646358
642;24863;13.321;1485.47979652882
643;24864;3.3556;1498.800796628
644;24865;2.1618;1502.15639650822
645;24866;1.9338;1504.3181964159
646;24867;1.9638;1506.25199639797
647;24868;2.0426;1508.21579635143
648;24869;2.023;1510.25839626789
649;24870;2.0461;1512.2813962698
650;24871;1.9949;1514.327496171
651;24872;2.8158;1516.32239615917
652;24873;2.0028;1519.13819611073
653;24874;1.6696;1521.14099609852
654;24875;1.6605;1522.81059610844
655;24876;2.2054;1524.47109615803
656;24877;1.9467;1526.67649614811
657;24878;2.0018;1528.62319612503
658;24879;9.1826;1530.6249961853
659;24880;2.5021;1539.80759620667
660;24881;1.9429;1542.30969619751
661;24882;2.1525;1544.25259613991
662;24883;1.9169;1546.40509605408
663;24884;2.1887;1548.3219960928
664;24885;2.3249;1550.5106960535
665;24886;2.0816;1552.83559596539
666;24887;1.9001;1554.91719591618
667;24888;2.544;1556.81729590893
668;24889;2.4653;1559.36129581928
669;24890;2.1326;1561.82659590244
670;24891;1.8872;1563.95919597149
671;24892;2.0591;1565.84639596939
672;24893;2.3577;1567.90549588203
673;24894;2.0411;1570.26319599152
674;24895;1.816;1572.30429601669
675;24896;1.9098;1574.12029600143
676;24897;2.9636;1576.03009605408
677;24898;1.8204;1578.99369597435
678;24899;1.7055;1580.81409597397
679;24900;1.7369;1582.51959598064
680;24901;1.9343;1584.25649595261
681;24902;1.8338;1586.19079589844
682;24903;1.7759;1588.02459585667
683;24904;1.6915;1589.80049586296
684;24905;2.2275;1591.49199581146
685;24906;1.9667;1593.71949577332
686;24907;2.1491;1595.68619573116
687;24908;5.8578;1597.83529579639
688;24909;2.2729;1603.69309580326
689;24910;1.9348;1605.96599590778
690;24911;2.1736;1607.90079593658
691;24912;2.113;1610.074395895
692;24913;1.8941;1612.18739581108
693;24914;1.7819;1614.08149576187
694;24915;2.3429;1615.86339581013
695;24916;1.9511;1618.20629584789
696;24917;1.6489;1620.15739583969
697;24918;1.824;1621.80629587173
698;24919;1.9379;1623.63029587269
699;24920;2.1735;1625.56819581985
700;24921;1.9121;1627.74169588089
